job_title,company,location,salary,skills,posting_date,job_link
C C++ Linux developer,Tempesta Technologies,Remote,"$40,000 - $100,000","senior, Algorithms, Data structures, linux",2026-03-14,https://remoteOK.com/remote-jobs/remote-c-c-linux-developer-tempesta-technologies-1130778
BPM LLP AI ML Engineer,Bpm Llp,United Kingdom,Not specified,"design, engineer, digital nomad",2026-03-12,https://remoteOK.com/remote-jobs/remote-bpm-llp-ai-ml-engineer-bpm-llp-1130744
Senior Software Engineer Data Platform,Zus Health,United States,Not specified,"software, embedded, system, ceo, technical, director, code, video, cloud, senior, go, medical, health, healthcare, engineer, engineering, apache",2026-03-12,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-data-platform-zus-health-1130735
Data Analyst,Marketing Architects,Remote,"$70,000 - $90,000","analyst, support, growth, director, marketing, analytics, go, full-time",2026-03-12,https://remoteOK.com/remote-jobs/remote-data-analyst-marketing-architects-1130731
Contract Data Architect,The Motley Fool,United States,Not specified,"architect, support, financial, investment, strategy, senior, engineering",2026-03-12,https://remoteOK.com/remote-jobs/remote-contract-data-architect-the-motley-fool-1130730
Solutions Analytics Data Scientist,Sentilink,Austin,Not specified,"python, technical, support, financial, fintech, analytics, go, health, engineering",2026-03-10,https://remoteOK.com/remote-jobs/remote-solutions-analytics-data-scientist-sentilink-1130707
Data Scientist IV,Goguardian,United States,Not specified,"system, teaching, students, technical",2026-03-10,https://remoteOK.com/remote-jobs/remote-data-scientist-iv-goguardian-1130703
Data Scientist,Attune,Remote,Not specified,"support, operational, analytics, engineering",2026-03-07,https://remoteOK.com/remote-jobs/remote-data-scientist-attune-1130668
